Chapter	Title	Filename	Purpose	Prerequisites	Concepts	Practical	Inputs	Outputs	Handover	Level	Verification
1	What Is a Polygenic Risk Score	chapters/Chapter_01_What_Is_a_Polygenic_Risk_Score.Rmd	Understand what a score summarizes	None	Susceptibility; weighted sum; limits	Hand calculation and reference plot	Self-contained chapter examples	Arithmetic and interpretation	Genetic foundations	Core	Static structure and source review; R execution and figures NOT verified
2	Genetic Foundations for PRS	chapters/Chapter_02_Genetic_Foundations_for_PRS.Rmd	Read genetic representations	1	Alleles; inheritance; LD; dosage	Genotype and dosage exercises	Self-contained chapter examples	Checked definitions	GWAS and harmonization	Core	Static structure and source review; R execution and figures NOT verified
3	From GWAS to PRS	chapters/Chapter_03_From_GWAS_to_PRS.Rmd	Understand where weights originate	1–2	GWAS; effect scale; uncertainty	Inspect example summary statistics	Self-contained chapter examples	GWAS schema	Calculation and methods	Core	Static structure and source review; R execution and figures NOT verified
4	How Is a PRS Calculated	chapters/Chapter_04_How_Is_a_PRS_Calculated.Rmd	Calculate a score correctly	1–3	Weighted sums; matching; scaling	R matrix scoring	Self-contained chapter examples	Toy individual scores	Interpretation and fixed scoring	Core	Static structure and source review; R execution and figures NOT verified
5	Interpreting a PRS	chapters/Chapter_05_Interpreting_a_PRS.Rmd	Interpret a score without overclaiming	1–4	Percentiles; odds; probability; performance	Reference and evaluation mini-exercises	Self-contained chapter examples	Interpretation examples	Planning and evaluation	Core	Static structure and source review; R execution and figures NOT verified
6	Planning a PRS Analysis	chapters/Chapter_06_Planning_a_PRS_Analysis.Rmd	Specify a defensible study	1–5	Data roles; independence; precision	Planning and leakage demonstrations	Self-contained chapter examples	Teaching protocol	Project preparation	Core	Static structure and source review; R execution and figures NOT verified
7	Preparing the PRS Project and Input Files	chapters/Chapter_07_Preparing_the_PRS_Project_and_Input_Files.Rmd	Audit inputs and identities	2,4,6	File formats; keys; units; provenance	Input checks and joins	Self-contained chapter examples	Readiness report	QC and harmonization	Core	Static structure and source review; R execution and figures NOT verified
8	Genotype Quality Control	chapters/Chapter_08_Genotype_Quality_Control.Rmd	Investigate measurement quality	2,6–7	Missingness; HWE; relatedness; batch	Synthetic missingness audit	scripts/course_helpers.R; optional external inputs explicitly identified	QC count table and flags	Harmonization	Core	Static structure and source review; R execution and figures NOT verified
9	Genome Builds and Allele Harmonization	chapters/Chapter_09_Genome_Builds_and_Allele_Harmonization.Rmd	Align the same variants and alleles	2,4,7–8	Build; strand; swap; coverage	Exact/swap/unresolved matching	scripts/course_helpers.R; optional external inputs explicitly identified	Alignment report	Scoring	Core	Static structure and source review; R execution and figures NOT verified
10	Applying a Fixed Score	chapters/Chapter_10_Applying_a_Fixed_Score.Rmd	Apply fixed weights reproducibly	4,7–9	Sum vs average; reference scale	R scoring; optional PLINK exercise	scripts/course_helpers.R; optional external inputs explicitly identified	Scores and reference parameters	Methods and evaluation	Core	Static structure and source review; R execution and figures NOT verified
11	Clumping and Thresholding	chapters/Chapter_11_Clumping_and_Thresholding.Rmd	Learn C+T selection	3,6,8–10	Clumping; thresholds; tuning	Discovery GWAS and greedy clumping	scripts/course_helpers.R; optional external inputs explicitly identified	Candidate and selected weights	LD-aware methods	Core	Static structure and source review; R execution and figures NOT verified
12	LDpred2	chapters/Chapter_12_LDpred2.Rmd	Learn LDpred2 inputs and assumptions	3,9,11	Priors; LD; inf/grid/auto	Input preparation; optional software fit	scripts/course_helpers.R; optional external inputs explicitly identified	Input audit and candidate weights	Alternative methods	Advanced method	Static structure and source review; R execution and figures NOT verified
